Year,Country,AI_Investment_BillionUSD,Automation_Rate_Percent,Employment_Rate_Percent,Average_Salary_USD,Productivity_Index,Reskilling_Investment_MillionUSD,AI_Policy_Index,Job_Displacement_Million,Job_Creation_Million,AI_Readiness_Score
2015,United States,52.46,10.75,65.5,38392.64,65.78,709.03,0.64,0.19,0.14,47.87
2016,United States,60.64,11.64,65.25,39371.74,67.02,815.38,0.75,0.16,0.85,43.85
2017,United States,66.11,12.46,64.93,40772.29,68.51,921.74,0.51,0.17,1.23,37.13
2018,United States,72.45,13.35,64.84,43974.92,71.09,1028.09,0.69,0.27,0.76,42.28
2019,United States,79.11,14.65,64.55,43745.39,69.89,1134.45,0.57,0.25,0.85,43.95
2020,United States,84.92,15.12,63.05,46695.82,74.53,1240.8,0.66,0.34,1.59,51.47
2021,United States,89.44,16.02,64.22,45248.01,73.64,1347.16,0.72,0.15,0.88,48.62
2022,United States,96.0,18.6,63.94,51724.35,77.1,1453.51,0.52,0.11,0.21,49.0
2023,United States,104.62,19.48,62.05,45217.73,76.07,1559.86,0.37,0.05,1.12,41.24
2024,United States,111.07,20.25,61.31,50198.31,75.64,1666.22,0.76,0.37,2.59,51.52
2025,United States,117.59,20.73,61.93,50995.5,75.98,1772.57,0.39,0.27,3.22,40.98
2015,China,71.55,12.61,68.44,26787.83,47.65,554.82,0.76,0.06,2.01,43.18
2016,China,81.08,13.76,68.0,27473.52,49.37,638.04,0.81,0.31,0.88,37.98
2017,China,88.08,14.55,67.55,29242.77,49.66,721.27,0.63,0.19,1.21,35.8
2018,China,96.28,15.41,66.99,29174.31,51.9,804.49,0.46,0.37,2.79,33.64
2019,China,106.42,16.29,67.3,29049.43,53.6,887.71,0.81,0.21,0.37,41.61
2020,China,116.69,17.09,67.22,31433.32,56.59,970.93,0.72,0.33,1.01,45.26
2021,China,123.16,18.93,66.1,32585.78,54.09,1054.16,0.43,0.4,1.35,33.82
2022,China,130.48,19.86,65.62,30631.44,57.52,1137.38,0.7,0.1,2.79,42.48
2023,China,142.7,19.45,66.02,31803.42,61.57,1220.6,0.42,0.43,1.32,40.69
2024,China,150.85,21.81,65.21,33358.89,57.32,1303.83,0.38,0.2,3.37,41.69
2025,China,159.76,23.73,64.51,32821.58,58.95,1387.05,0.78,0.54,3.03,41.64
2015,India,5.4,15.97,73.0,57696.49,47.72,630.34,0.76,0.1,0.12,37.73
2016,India,7.13,17.06,72.6,60320.33,49.24,724.89,0.8,0.25,0.03,40.58
2017,India,7.73,17.76,72.01,61365.17,51.14,819.44,0.78,0.23,0.14,42.25
2018,India,8.29,19.23,72.14,61284.54,52.26,913.99,0.68,0.1,0.23,45.46
2019,India,12.0,19.76,72.18,68739.49,53.09,1008.54,0.53,0.2,0.31,36.47
2020,India,9.86,21.08,70.59,69489.91,55.0,1103.09,0.72,0.07,0.19,47.89
2021,India,10.58,22.01,70.22,72313.22,57.06,1197.64,0.46,0.18,0.26,41.72
2022,India,14.33,24.12,70.52,71850.5,59.19,1292.2,0.81,0.4,0.31,49.63
2023,India,15.26,23.45,70.5,68229.31,59.42,1386.75,0.59,0.33,0.15,43.25
2024,India,12.66,23.3,68.98,73692.93,57.63,1481.3,0.52,0.32,0.3,37.61
2025,India,15.87,24.31,70.84,78432.98,62.04,1575.85,0.8,0.59,0.26,45.71
2015,Germany,66.89,10.19,76.12,66888.36,51.91,239.93,0.72,0.25,1.7,41.45
2016,Germany,73.23,11.06,75.87,68728.28,53.35,275.92,0.74,0.09,2.1,42.85
2017,Germany,81.69,12.28,75.46,70558.12,54.48,311.91,0.79,0.24,0.2,38.21
2018,Germany,87.55,12.64,74.75,75137.65,56.05,347.9,0.6,0.16,0.6,38.15
2019,Germany,96.84,14.38,74.55,72603.07,57.11,383.89,0.46,0.23,1.56,40.32
2020,Germany,105.77,14.52,75.01,80022.76,57.01,419.88,0.7,0.22,1.36,42.88
2021,Germany,112.85,16.3,73.22,79563.61,62.52,455.87,0.62,0.37,0.84,37.77
2022,Germany,119.3,15.85,74.52,85846.63,59.31,491.86,0.73,0.02,2.96,40.98
2023,Germany,127.26,18.82,73.01,91676.74,64.61,527.85,0.53,0.38,1.26,38.23
2024,Germany,137.67,20.3,71.64,86380.09,63.59,563.84,0.5,0.47,3.58,40.25
2025,Germany,145.56,21.21,73.81,98377.12,65.95,599.83,0.77,0.44,1.6,51.09
2015,Japan,76.35,20.1,61.85,30802.98,69.66,643.35,0.89,0.24,0.78,49.76
2016,Japan,86.7,21.2,61.42,32148.72,70.74,739.86,0.76,0.27,0.31,50.01
2017,Japan,94.99,22.41,61.24,32251.46,71.89,836.36,0.69,0.08,0.41,50.78
2018,Japan,102.73,23.48,60.62,32876.68,72.87,932.86,0.8,0.58,1.28,50.27
2019,Japan,114.9,24.81,59.87,36051.98,74.87,1029.37,0.29,0.56,0.59,42.25
2020,Japan,120.91,25.04,60.77,34432.27,75.13,1125.87,0.84,0.42,2.77,54.01
2021,Japan,133.93,25.8,60.14,39315.32,76.74,1222.37,0.61,0.64,0.54,49.91
2022,Japan,143.17,27.16,59.13,39615.94,79.21,1318.87,0.75,0.44,2.63,57.24
2023,Japan,148.69,27.4,57.97,42312.93,80.58,1415.38,0.38,0.15,2.23,45.03
2024,Japan,160.06,27.58,57.42,44549.64,83.69,1511.88,0.72,0.38,1.71,57.37
2025,Japan,169.68,28.75,57.12,44564.56,87.26,1608.38,0.71,0.32,4.77,59.1
2015,South Korea,63.72,31.89,70.72,83386.95,53.25,596.84,0.82,0.15,1.19,45.52
2016,South Korea,75.28,33.03,70.27,86227.17,54.58,686.36,0.58,0.72,1.86,47.62
2017,South Korea,83.25,33.94,69.86,91449.29,56.61,775.89,0.59,0.24,1.22,39.91
2018,South Korea,90.94,35.02,69.92,93431.16,57.73,865.41,0.48,0.6,1.51,44.57
2019,South Korea,97.07,36.46,69.26,95670.89,60.05,954.94,0.55,0.39,0.56,39.76
2020,South Korea,105.88,37.13,68.67,94389.41,58.79,1044.46,0.34,0.43,2.89,38.49
2021,South Korea,112.78,38.57,68.81,102730.68,63.39,1133.99,0.82,0.92,0.69,55.45
2022,South Korea,120.55,38.22,68.36,112222.72,63.01,1223.51,0.77,0.26,0.5,46.37
2023,South Korea,126.96,38.78,68.79,109554.6,62.41,1313.04,0.38,0.36,3.44,42.02
2024,South Korea,136.98,39.71,68.41,99316.73,63.47,1402.57,0.48,0.12,0.74,44.3
2025,South Korea,143.0,41.35,67.21,117335.31,63.56,1492.09,0.52,0.83,2.8,41.76
2015,France,68.7,28.56,77.23,59641.13,64.66,141.24,0.49,0.17,0.85,42.02
2016,France,75.74,29.5,76.9,62171.35,65.69,162.43,0.69,0.21,1.66,50.61
2017,France,83.38,30.58,76.77,63627.82,67.51,183.61,0.48,0.31,0.21,41.48
2018,France,90.25,31.35,76.53,67999.68,69.08,204.8,0.46,0.54,2.17,43.61
2019,France,97.81,32.61,75.73,69747.48,70.04,225.99,0.54,0.32,1.96,46.51
2020,France,106.95,34.53,75.33,67727.51,70.07,247.17,0.5,0.16,0.95,41.99
2021,France,114.34,34.04,75.72,76425.2,71.05,268.36,0.22,0.84,0.59,39.02
2022,France,125.54,36.58,74.12,71221.03,72.62,289.55,0.7,0.62,3.52,51.31
2023,France,132.01,35.85,73.79,71861.03,74.73,310.73,0.64,0.24,0.69,51.16
2024,France,138.94,37.85,75.02,78124.38,77.49,331.92,0.19,0.08,1.59,38.44
2025,France,146.11,40.52,74.27,86059.9,76.7,353.1,0.77,0.62,2.22,53.12
2015,United Kingdom,21.49,18.68,61.6,38967.45,43.54,350.18,0.72,0.35,0.61,36.76
2016,United Kingdom,23.01,19.78,61.22,40730.92,44.65,402.7,0.51,0.1,0.15,39.59
2017,United Kingdom,28.06,20.7,60.98,42577.09,46.16,455.23,0.69,0.43,0.4,39.43
2018,United Kingdom,29.9,21.44,60.32,43068.58,47.09,507.76,0.56,0.3,0.82,39.91
2019,United Kingdom,31.16,23.39,60.04,43650.9,47.98,560.28,0.72,0.47,0.6,42.87
2020,United Kingdom,36.92,24.26,60.37,44686.25,49.53,612.81,0.83,0.53,0.43,48.42
2021,United Kingdom,36.44,25.51,60.17,46430.18,53.36,665.33,0.66,0.12,0.31,45.52
2022,United Kingdom,41.53,26.08,58.74,48864.1,51.95,717.86,0.44,0.59,0.76,37.76
2023,United Kingdom,43.15,28.11,59.63,50684.78,54.77,770.39,0.52,0.44,0.11,45.27
2024,United Kingdom,47.68,27.92,57.91,55687.41,57.63,822.91,0.64,0.43,0.66,47.2
2025,United Kingdom,50.34,30.38,58.24,48084.72,61.41,875.44,0.43,0.64,0.28,46.47
2015,Canada,54.16,20.94,67.4,37570.42,49.34,942.99,0.76,0.02,0.61,41.45
2016,Canada,59.15,22.11,67.1,38712.89,50.93,1084.44,0.51,0.26,0.49,37.77
2017,Canada,63.88,22.69,66.7,40017.59,52.81,1225.89,0.76,0.37,0.15,45.59
2018,Canada,70.35,24.5,66.67,41226.63,52.55,1367.33,0.32,0.61,1.13,36.42
2019,Canada,76.23,25.34,66.35,44624.89,54.0,1508.78,0.99,0.07,1.81,48.88
2020,Canada,84.38,25.83,65.8,44481.35,54.97,1650.23,0.43,0.14,2.2,43.21
2021,Canada,90.1,26.39,65.04,44843.01,55.47,1791.68,0.67,0.44,0.25,41.09
2022,Canada,95.85,28.43,65.96,43651.68,60.82,1933.13,0.48,0.15,1.94,39.4
2023,Canada,101.64,28.12,64.07,51297.42,62.66,2074.58,0.85,0.17,1.04,53.92
2024,Canada,107.62,28.45,65.04,44602.24,59.65,2216.02,0.45,0.43,1.49,44.99
2025,Canada,117.16,30.31,64.63,49364.07,64.07,2357.47,0.71,0.33,2.05,47.45
2015,Australia,52.78,28.27,63.42,68747.61,45.72,441.51,0.39,0.36,1.43,38.79
2016,Australia,59.74,29.08,63.14,71239.64,47.23,507.74,0.51,0.61,1.77,39.06
2017,Australia,65.15,30.09,63.01,75268.86,47.91,573.96,0.54,0.45,0.63,40.38
2018,Australia,73.51,31.67,62.64,72940.5,49.05,640.19,0.84,0.54,0.51,50.79
2019,Australia,79.01,32.09,62.0,74634.87,50.25,706.42,0.84,0.6,0.34,48.04
2020,Australia,84.75,33.05,61.99,79290.12,53.6,772.64,0.69,0.41,1.74,49.58
2021,Australia,93.13,33.59,62.17,80242.73,54.58,838.87,0.34,0.08,1.48,39.58
2022,Australia,97.97,36.03,61.8,79457.04,56.8,905.1,0.9,0.41,0.87,54.18
2023,Australia,106.26,36.9,61.17,89485.69,56.03,971.32,0.59,0.12,2.94,41.3
2024,Australia,113.29,37.08,61.12,91180.86,61.0,1037.55,0.72,0.62,2.42,52.55
2025,Australia,116.92,38.23,60.76,102867.07,63.27,1103.77,0.69,0.07,2.54,53.66
2015,Brazil,77.94,29.2,71.14,66076.86,69.5,798.4,0.67,0.71,2.22,47.66
2016,Brazil,90.17,30.34,70.84,69041.56,70.53,918.16,0.57,0.46,0.76,42.71
2017,Brazil,96.53,31.36,70.54,71593.35,71.6,1037.92,0.66,0.63,1.05,50.2
2018,Brazil,109.28,32.34,70.33,70186.58,74.59,1157.68,0.31,0.05,2.89,43.31
2019,Brazil,118.99,33.68,69.14,74143.88,75.95,1277.44,0.52,0.54,3.15,52.92
2020,Brazil,127.82,34.04,69.51,79995.11,75.45,1397.2,0.23,0.12,1.52,39.91
2021,Brazil,135.43,34.56,69.86,74218.67,80.24,1516.96,0.31,0.6,1.1,49.7
2022,Brazil,146.9,35.05,68.86,87526.38,81.79,1636.72,0.42,0.43,2.82,44.71
2023,Brazil,157.22,36.34,67.28,86951.54,81.39,1756.48,0.36,0.19,1.29,44.11
2024,Brazil,165.88,37.66,69.18,95260.21,84.86,1876.24,0.61,0.88,4.95,50.03
2025,Brazil,173.86,40.23,67.05,82342.91,86.03,1996.0,0.49,0.56,3.23,52.83
2015,Russia,20.54,10.96,66.31,41064.45,47.38,948.62,0.49,0.26,0.54,37.76
2016,Russia,25.46,11.98,66.08,42388.93,48.68,1090.91,0.73,0.15,0.11,37.25
2017,Russia,28.23,12.62,65.4,43927.01,50.15,1233.2,0.46,0.19,0.71,33.66
2018,Russia,30.87,14.04,65.47,46775.56,52.3,1375.5,0.74,0.31,0.67,45.12
2019,Russia,33.61,15.25,64.77,48058.8,51.89,1517.79,0.66,0.34,0.89,35.7
2020,Russia,36.79,15.22,64.81,49750.66,53.03,1660.08,0.66,0.2,0.08,38.6
2021,Russia,38.61,18.12,63.97,47912.55,56.43,1802.38,0.66,0.25,0.92,38.43
2022,Russia,41.85,18.08,62.89,49761.62,57.93,1944.67,0.63,0.05,0.44,44.31
2023,Russia,41.74,19.23,63.88,53754.18,55.68,2086.96,0.66,0.42,1.22,47.07
2024,Russia,47.13,18.63,62.46,48728.66,56.54,2229.25,0.58,0.36,1.0,40.51
2025,Russia,47.89,22.95,63.03,54838.13,58.69,2371.55,0.29,0.46,1.03,34.0
2015,Netherlands,69.06,19.44,73.11,48737.91,72.01,512.97,0.57,0.46,0.95,45.9
2016,Netherlands,78.81,20.35,72.61,50311.17,73.72,589.91,0.43,0.13,0.63,37.8
2017,Netherlands,88.31,21.34,72.19,52071.23,75.56,666.86,0.64,0.42,2.08,50.97
2018,Netherlands,97.23,22.59,72.39,51804.86,77.22,743.8,0.57,0.36,2.36,46.57
2019,Netherlands,103.15,22.84,71.49,55153.61,76.65,820.75,0.49,0.34,0.98,48.17
2020,Netherlands,112.41,24.35,72.09,54141.34,78.58,897.69,0.6,0.3,2.11,46.11
2021,Netherlands,122.43,26.3,70.51,54934.03,80.32,974.64,0.56,0.65,0.73,48.5
2022,Netherlands,130.61,27.01,70.53,55661.23,80.84,1051.58,0.54,0.36,0.58,46.9
2023,Netherlands,136.76,26.09,70.56,58088.37,83.64,1128.53,0.75,0.15,0.91,49.27
2024,Netherlands,147.66,29.18,71.22,69830.58,81.38,1205.47,0.69,0.41,3.23,55.71
2025,Netherlands,156.46,30.65,70.09,70399.36,82.65,1282.42,0.62,0.63,2.29,52.69
2015,Sweden,24.97,17.4,71.23,40764.5,60.46,908.04,0.74,0.08,0.66,41.54
2016,Sweden,29.75,18.33,70.97,42545.54,61.99,1044.25,1.0,0.33,0.25,55.13
2017,Sweden,32.73,19.52,70.71,44058.83,62.58,1180.45,0.59,0.03,0.3,41.94
2018,Sweden,35.29,20.67,69.96,44771.42,64.29,1316.66,0.37,0.38,0.55,42.47
2019,Sweden,38.4,21.27,70.1,46923.28,67.38,1452.86,0.9,0.13,0.75,51.78
2020,Sweden,40.72,21.66,69.15,50399.38,66.18,1589.07,0.65,0.28,0.36,48.95
2021,Sweden,42.55,23.43,69.38,50007.08,67.25,1725.28,0.56,0.24,1.24,41.63
2022,Sweden,46.38,23.91,68.2,47591.88,72.89,1861.48,0.37,0.07,0.31,42.36
2023,Sweden,48.09,26.45,68.59,49720.11,72.41,1997.69,0.56,0.48,0.32,43.01
2024,Sweden,49.87,27.25,67.64,53326.09,75.54,2133.9,0.65,0.6,0.39,45.56
2025,Sweden,53.78,25.63,67.63,60371.47,70.78,2270.1,0.79,0.1,0.79,54.83
2015,Turkey,34.22,16.58,79.95,55571.58,43.18,142.4,0.62,0.36,0.5,35.85
2016,Turkey,39.11,17.65,79.71,56732.98,44.43,163.77,0.67,0.32,0.3,38.98
2017,Turkey,45.22,18.25,79.15,59274.03,46.57,185.13,0.68,0.39,1.29,40.18
2018,Turkey,47.53,19.72,78.57,61759.74,46.25,206.49,0.46,0.46,1.01,35.98
2019,Turkey,50.6,20.83,78.68,64360.11,47.52,227.85,0.75,0.41,0.9,42.96
2020,Turkey,57.44,21.39,78.46,66693.62,51.41,249.21,0.56,0.41,1.4,37.45
2021,Turkey,61.39,21.67,77.77,62297.77,50.74,270.57,0.41,0.38,0.79,34.43
2022,Turkey,63.27,23.22,78.07,64205.8,53.56,291.93,0.35,0.4,1.22,34.61
2023,Turkey,68.03,25.74,77.1,70853.96,51.35,313.29,0.43,0.27,1.24,36.71
2024,Turkey,73.14,26.53,75.96,76349.41,59.06,334.65,0.37,0.04,0.55,32.91
2025,Turkey,77.49,28.17,77.22,82140.92,53.66,356.01,0.57,0.1,1.21,38.01
2015,Singapore,12.36,28.82,75.84,50329.6,42.22,443.46,0.68,0.45,0.27,37.23
2016,Singapore,14.46,29.67,75.59,52364.6,43.37,509.98,0.88,0.11,0.26,41.49
2017,Singapore,18.25,30.81,74.96,54004.34,44.29,576.49,0.63,0.5,0.52,40.64
2018,Singapore,19.26,32.28,75.04,54309.87,46.69,643.01,0.77,0.73,0.23,40.78
2019,Singapore,20.69,32.46,74.05,56915.15,48.36,709.53,0.55,0.11,0.4,39.21
2020,Singapore,21.5,33.16,73.74,61876.19,48.09,776.05,0.78,0.47,0.18,43.27
2021,Singapore,23.12,34.82,72.86,57605.2,51.56,842.57,0.84,0.37,0.32,49.19
2022,Singapore,25.1,37.2,74.17,58476.1,53.28,909.09,0.36,0.11,0.11,42.08
2023,Singapore,24.69,36.26,73.7,62670.37,50.67,975.61,0.68,0.49,0.1,46.78
2024,Singapore,26.44,37.97,71.67,68233.69,55.06,1042.12,0.42,0.65,0.79,42.05
2025,Singapore,29.32,39.75,72.45,61303.6,56.72,1108.64,0.41,0.95,0.2,42.92
2015,Spain,78.51,25.87,79.42,76646.78,40.4,748.65,0.8,0.52,2.2,37.64
2016,Spain,88.87,26.73,78.92,80311.27,41.83,860.95,0.42,0.57,1.47,34.6
2017,Spain,97.2,28.08,78.94,83511.58,43.65,973.24,0.44,0.27,0.43,38.97
2018,Spain,108.62,28.64,78.46,84330.49,44.84,1085.54,0.47,0.38,3.01,35.63
2019,Spain,119.94,30.44,78.37,91337.78,44.77,1197.84,0.53,0.67,3.16,40.43
2020,Spain,128.69,30.48,78.3,88944.53,46.1,1310.14,0.77,0.54,1.5,47.35
2021,Spain,137.66,32.65,77.98,97737.11,50.83,1422.43,0.97,0.63,0.95,48.4
2022,Spain,146.26,31.88,77.25,88474.62,47.55,1534.73,0.55,0.14,4.24,39.51
2023,Spain,158.09,33.66,77.07,98220.86,51.21,1647.03,0.64,0.21,3.06,43.74
2024,Spain,164.4,33.29,75.51,99958.6,49.82,1759.33,0.48,0.83,0.59,40.62
2025,Spain,177.29,34.83,76.99,94767.27,52.83,1871.62,0.65,0.09,2.88,47.99
2015,Italy,57.38,26.11,65.34,63457.71,43.9,491.29,0.51,0.29,0.32,40.84
2016,Italy,62.66,26.99,65.03,65515.25,45.57,564.98,0.73,0.03,0.86,42.01
2017,Italy,67.68,27.92,64.48,66518.06,46.76,638.68,0.71,0.17,0.16,39.86
2018,Italy,78.24,29.47,63.87,70051.4,47.17,712.37,0.31,0.63,0.37,34.66
2019,Italy,81.67,29.83,63.65,72159.17,49.11,786.06,0.91,0.31,1.21,50.36
2020,Italy,91.37,32.02,63.16,72805.73,51.66,859.76,0.36,0.68,0.28,41.81
2021,Italy,96.39,32.44,62.95,81297.01,52.96,933.45,0.54,0.51,0.37,42.04
2022,Italy,101.88,33.77,62.86,81406.58,51.14,1007.14,0.64,0.09,0.41,38.64
2023,Italy,111.84,34.87,62.89,78127.13,54.14,1080.84,0.53,0.68,2.29,39.42
2024,Italy,115.44,33.66,61.75,87976.54,54.81,1154.53,0.69,0.34,0.9,42.04
2025,Italy,123.94,37.21,61.4,86244.78,54.24,1228.22,0.8,0.9,3.02,46.43
2015,South Africa,40.95,38.61,77.52,40803.34,57.52,260.79,0.47,0.35,1.15,38.91
2016,South Africa,43.2,39.59,77.19,42369.71,59.27,299.9,0.65,0.27,0.23,43.03
2017,South Africa,49.94,40.73,76.95,44433.08,60.9,339.02,0.73,0.49,1.28,50.52
2018,South Africa,54.19,41.8,76.76,45253.05,62.88,378.14,0.48,0.98,0.17,40.76
2019,South Africa,56.29,42.98,75.74,45113.05,63.14,417.26,0.67,0.6,1.04,48.53
2020,South Africa,61.64,43.74,75.48,50228.85,65.07,456.38,0.71,0.84,0.4,49.51
2021,South Africa,65.17,44.01,75.01,52984.19,64.0,495.49,0.79,0.26,1.14,53.69
2022,South Africa,72.28,44.74,75.37,53231.89,67.62,534.61,0.54,0.05,1.68,42.78
2023,South Africa,77.48,45.66,73.62,50935.05,67.61,573.73,0.53,1.01,2.32,46.38
2024,South Africa,80.98,48.41,73.32,54681.46,69.34,612.85,0.48,0.53,1.74,42.72
2025,South Africa,86.34,48.04,73.13,50102.31,72.23,651.97,0.93,0.12,1.57,58.22
2015,Mexico,73.69,36.12,65.97,63336.97,61.31,237.56,0.56,0.75,1.18,40.9
2016,Mexico,80.49,37.05,65.53,65948.38,62.94,273.19,0.18,0.17,0.9,37.76
2017,Mexico,89.43,37.89,65.21,68666.13,64.91,308.82,0.72,0.89,1.79,49.15
2018,Mexico,100.43,39.46,65.26,69473.78,66.33,344.46,0.78,0.6,0.72,50.48
2019,Mexico,108.04,39.36,65.14,74725.19,66.19,380.09,0.31,0.53,1.12,46.81
2020,Mexico,116.55,40.97,63.66,77669.49,67.06,415.72,0.57,0.52,0.67,44.18
2021,Mexico,127.24,42.11,63.98,79254.28,70.99,451.36,0.81,0.2,2.43,50.84
2022,Mexico,136.15,43.56,62.56,73121.34,68.63,486.99,0.45,0.3,3.73,44.61
2023,Mexico,143.04,44.95,63.29,85277.56,69.73,522.62,0.47,0.57,0.42,43.53
2024,Mexico,154.4,43.82,62.73,81767.76,72.81,558.26,0.64,0.63,4.36,47.6
2025,Mexico,161.26,45.16,61.78,94650.08,73.37,593.89,0.61,0.75,1.22,52.78
